"Date","Price","Open","High","Low","Vol.","Change %"
"Jul 01, 2019","9,264.60","9,290.30","9,314.30","9,217.50","154.92M","0.72%"
"Jun 28, 2019","9,198.80","9,148.80","9,216.30","9,118.50","152.19M","0.56%"
"Jun 27, 2019","9,147.80","9,168.00","9,196.80","9,125.80","137.19M","-0.10%"
"Jun 26, 2019","9,157.40","9,162.30","9,220.70","9,142.40","147.06M","-0.03%"
"Jun 25, 2019","9,159.80","9,165.30","9,173.20","9,120.70","147.68M","-0.36%"
"Jun 24, 2019","9,192.50","9,230.00","9,285.40","9,173.30","121.86M","-0.38%"
"Jun 21, 2019","9,227.20","9,228.20","9,297.70","9,209.30","332.95M","0.20%"
"Jun 20, 2019","9,208.50","9,272.10","9,292.70","9,204.80","208.46M","-0.25%"
"Jun 19, 2019","9,231.20","9,257.30","9,263.30","9,192.40","180.12M","-0.10%"
"Jun 18, 2019","9,240.70","9,112.90","9,253.40","9,060.40","200.01M","1.19%"
"Jun 17, 2019","9,131.70","9,199.60","9,205.10","9,127.90","118.12M","-0.68%"
"Jun 14, 2019","9,194.20","9,233.80","9,244.70","9,169.30","114.98M","-0.57%"
"Jun 13, 2019","9,247.10","9,227.60","9,301.70","9,208.80","126.13M","0.09%"
"Jun 12, 2019","9,238.50","9,244.40","9,274.60","9,223.10","145.20M","-0.47%"
"Jun 11, 2019","9,282.10","9,288.60","9,332.50","9,273.40","144.70M","-0.13%"
"Jun 10, 2019","9,294.10","9,284.20","9,302.20","9,248.10","102.32M","0.63%"
"Jun 07, 2019","9,236.10","9,186.70","9,261.40","9,185.70","150.66M","0.73%"
"Jun 06, 2019","9,169.20","9,169.20","9,246.20","9,136.70","212.72M","0.20%"
"Jun 05, 2019","9,150.50","9,136.80","9,173.40","9,095.00","158.75M","0.36%"
"Jun 04, 2019","9,117.60","8,972.70","9,138.50","8,964.20","197.02M","1.05%"
"Jun 03, 2019","9,022.80","8,945.70","9,022.80","8,903.10","156.19M","0.21%"
"May 31, 2019","9,004.20","9,054.90","9,074.00","8,959.50","208.66M","-1.68%"
"May 30, 2019","9,157.80","9,120.80","9,175.20","9,114.10","101.39M","0.85%"
"May 29, 2019","9,080.50","9,113.20","9,116.70","9,035.10","148.99M","-1.21%"
"May 28, 2019","9,191.80","9,220.40","9,224.90","9,132.90","218.90M","-0.27%"
"May 27, 2019","9,216.40","9,225.90","9,294.60","9,204.70","60.18M","0.46%"
"May 24, 2019","9,174.60","9,150.30","9,211.10","9,141.40","121.67M","0.66%"
"May 23, 2019","9,114.00","9,170.70","9,186.70","9,098.40","161.09M","-1.28%"
"May 22, 2019","9,232.20","9,232.30","9,288.70","9,182.50","146.55M","-0.07%"
"May 21, 2019","9,239.10","9,229.00","9,255.00","9,185.20","131.58M","0.43%"
"May 20, 2019","9,199.70","9,286.00","9,334.90","9,177.90","153.32M","-0.87%"
"May 17, 2019","9,280.10","9,278.70","9,321.60","9,223.10","159.80M","-0.26%"
"May 16, 2019","9,304.30","9,161.40","9,304.30","9,136.70","157.57M","1.39%"
"May 15, 2019","9,177.10","9,143.00","9,177.10","9,061.90","143.43M","0.54%"
"May 14, 2019","9,127.60","9,078.20","9,127.60","9,053.60","139.68M","0.89%"
"May 13, 2019","9,046.80","9,127.60","9,127.60","9,025.70","147.44M","-0.78%"
"May 10, 2019","9,117.50","9,149.40","9,179.40","9,099.10","147.76M","0.25%"
"May 09, 2019","9,095.20","9,162.10","9,184.80","9,079.80","167.00M","-1.43%"
"May 08, 2019","9,227.00","9,233.90","9,261.20","9,158.30","185.75M","-0.09%"
"May 07, 2019","9,235.10","9,332.90","9,404.60","9,221.00","199.27M","-1.03%"
"May 06, 2019","9,331.00","9,259.00","9,347.20","9,236.30","121.60M","-0.84%"
"May 03, 2019","9,409.60","9,427.90","9,450.70","9,388.70","126.74M","-0.09%"
"May 02, 2019","9,418.20","9,545.50","9,559.70","9,412.20","205.61M","-1.59%"
"Apr 30, 2019","9,570.60","9,497.30","9,570.60","9,455.50","186.88M","0.56%"
"Apr 29, 2019","9,517.20","9,435.30","9,517.20","9,414.40","146.30M","0.12%"
"Apr 26, 2019","9,506.00","9,512.10","9,527.40","9,448.80","153.32M","0.05%"
"Apr 25, 2019","9,501.20","9,450.80","9,503.80","9,421.30","147.42M","0.47%"
"Apr 24, 2019","9,456.40","9,506.30","9,525.20","9,427.40","157.93M","-0.74%"
"Apr 23, 2019","9,527.20","9,586.00","9,588.20","9,492.20","159.55M","-0.57%"
"Apr 18, 2019","9,581.90","9,553.70","9,581.90","9,480.00","165.27M","0.34%"
"Apr 17, 2019","9,549.80","9,486.00","9,580.60","9,460.50","193.16M","0.55%"
"Apr 16, 2019","9,497.30","9,492.40","9,543.70","9,462.90","140.51M","0.00%"
"Apr 15, 2019","9,497.10","9,488.10","9,528.40","9,468.10","156.93M","0.30%"
"Apr 12, 2019","9,468.50","9,441.30","9,509.20","9,390.20","212.33M","0.24%"
"Apr 11, 2019","9,445.40","9,423.10","9,468.70","9,372.30","178.53M","0.41%"
"Apr 10, 2019","9,406.50","9,423.50","9,467.50","9,395.20","152.20M","-0.01%"
"Apr 09, 2019","9,407.80","9,428.30","9,511.20","9,388.30","137.60M","-0.32%"
"Apr 08, 2019","9,437.70","9,483.40","9,495.10","9,425.20","121.81M","-0.76%"
"Apr 05, 2019","9,510.30","9,542.40","9,553.60","9,476.50","178.69M","-0.25%"
"Apr 04, 2019","9,534.10","9,488.90","9,551.50","9,472.00","164.76M","0.49%"
"Apr 03, 2019","9,487.80","9,457.10","9,491.20","9,436.50","173.81M","1.33%"
"Apr 02, 2019","9,363.50","9,356.70","9,400.70","9,322.90","152.28M","0.23%"
"Apr 01, 2019","9,341.70","9,304.80","9,355.20","9,269.70","200.87M","1.10%"
"Mar 29, 2019","9,240.30","9,226.50","9,273.80","9,190.50","181.74M","0.72%"
"Mar 28, 2019","9,174.70","9,214.10","9,245.60","9,170.40","153.24M","-0.60%"
"Mar 27, 2019","9,229.90","9,194.80","9,323.50","9,146.10","239.05M","0.51%"
"Mar 26, 2019","9,183.10","9,189.70","9,211.70","9,151.50","168.85M","0.03%"
"Mar 25, 2019","9,179.90","9,159.40","9,232.80","9,127.30","169.09M","-0.21%"
"Mar 22, 2019","9,199.40","9,394.60","9,395.20","9,188.30","216.68M","-1.67%"
"Mar 21, 2019","9,355.60","9,387.40","9,397.60","9,326.20","179.84M","-0.53%"
"Mar 20, 2019","9,405.60","9,467.70","9,509.20","9,405.60","138.67M","-0.91%"
"Mar 19, 2019","9,492.30","9,428.40","9,532.90","9,417.90","150.40M","0.88%"
"Mar 18, 2019","9,409.10","9,350.80","9,418.80","9,343.90","152.58M","0.72%"
"Mar 15, 2019","9,342.20","9,219.50","9,342.20","9,216.10","372.91M","1.44%"
"Mar 14, 2019","9,209.80","9,193.70","9,283.90","9,192.10","155.13M","0.19%"
"Mar 13, 2019","9,192.70","9,134.70","9,202.70","9,123.00","162.61M","0.34%"
"Mar 12, 2019","9,161.70","9,206.90","9,213.80","9,137.20","144.90M","-0.11%"
"Mar 11, 2019","9,171.90","9,157.70","9,181.70","9,106.80","129.69M","0.47%"
"Mar 08, 2019","9,129.30","9,173.20","9,205.50","9,110.50","197.95M","-1.30%"
"Mar 07, 2019","9,249.90","9,301.00","9,366.70","9,216.10","253.05M","-0.50%"
"Mar 06, 2019","9,296.70","9,243.10","9,344.60","9,235.40","140.84M","0.42%"
"Mar 05, 2019","9,258.20","9,255.70","9,298.70","9,204.30","140.18M","-0.02%"
"Mar 04, 2019","9,259.80","9,309.30","9,322.00","9,248.00","112.92M","-0.09%"
"Mar 01, 2019","9,267.70","9,313.50","9,361.40","9,267.70","167.87M","-0.11%"
"Feb 28, 2019","9,277.70","9,166.30","9,293.10","9,141.00","260.63M","0.72%"
"Feb 27, 2019","9,211.70","9,206.20","9,226.20","9,160.90","174.51M","-0.17%"
"Feb 26, 2019","9,227.20","9,172.00","9,235.80","9,141.80","127.10M","0.25%"
"Feb 25, 2019","9,204.30","9,244.20","9,261.40","9,198.80","131.23M","-0.00%"
"Feb 22, 2019","9,204.60","9,184.70","9,238.90","9,175.30","131.20M","0.15%"
"Feb 21, 2019","9,191.20","9,202.50","9,224.70","9,162.90","137.60M","0.11%"
"Feb 20, 2019","9,181.10","9,156.80","9,189.70","9,148.70","130.32M","0.49%"
"Feb 19, 2019","9,136.40","9,152.10","9,187.60","9,096.10","117.86M","-0.21%"
"Feb 18, 2019","9,155.50","9,134.60","9,174.70","9,123.60","115.18M","0.35%"
"Feb 15, 2019","9,123.20","8,953.40","9,134.80","8,918.50","208.11M","1.91%"
"Feb 14, 2019","8,952.50","9,035.70","9,038.00","8,943.90","169.67M","-0.33%"
"Feb 13, 2019","8,982.40","8,993.30","9,015.60","8,956.90","155.30M","-0.01%"
"Feb 12, 2019","8,983.10","8,989.50","9,032.30","8,961.40","138.79M","0.52%"
"Feb 11, 2019","8,936.40","8,905.10","8,974.80","8,893.10","132.24M","0.90%"
"Feb 08, 2019","8,856.80","8,915.40","8,928.40","8,826.50","165.21M","-0.91%"
"Feb 07, 2019","8,938.30","9,062.40","9,098.40","8,938.30","178.62M","-1.79%"
"Feb 06, 2019","9,100.90","9,070.40","9,113.70","9,055.80","149.92M","0.10%"
"Feb 05, 2019","9,092.00","8,982.00","9,092.00","8,949.20","210.16M","1.30%"
"Feb 04, 2019","8,975.20","9,015.30","9,036.00","8,905.80","221.48M","-0.49%"
"Feb 01, 2019","9,019.40","9,058.60","9,078.70","8,942.40","286.84M","-0.41%"
"Jan 31, 2019","9,056.70","9,103.80","9,117.10","8,981.70","222.89M","-0.16%"
"Jan 30, 2019","9,071.50","9,123.90","9,142.10","9,034.10","154.21M","-0.52%"
"Jan 29, 2019","9,119.10","9,064.60","9,163.80","9,034.10","144.38M","0.63%"
"Jan 28, 2019","9,062.40","9,149.50","9,181.50","9,048.90","134.49M","-1.34%"
"Jan 25, 2019","9,185.20","9,206.90","9,225.40","9,164.60","161.49M","0.38%"
"Jan 24, 2019","9,150.00","9,150.00","9,205.40","9,088.00","163.42M","0.23%"
"Jan 23, 2019","9,128.80","9,011.90","9,169.70","9,006.40","135.90M","1.01%"
"Jan 22, 2019","9,037.50","9,009.00","9,055.60","9,001.10","143.28M","-0.18%"
"Jan 21, 2019","9,053.80","9,064.80","9,070.60","9,033.20","90.49M","-0.17%"
"Jan 18, 2019","9,069.10","8,962.30","9,080.80","8,950.90","203.55M","1.80%"
"Jan 17, 2019","8,908.60","8,868.10","8,939.10","8,850.60","152.92M","-0.05%"
"Jan 16, 2019","8,912.70","8,869.50","8,912.70","8,836.70","176.32M","0.71%"
"Jan 15, 2019","8,850.10","8,878.40","8,915.90","8,768.20","136.52M","0.36%"
"Jan 14, 2019","8,818.60","8,819.20","8,840.40","8,751.20","126.00M","-0.66%"
"Jan 11, 2019","8,877.10","8,855.90","8,900.40","8,836.00","151.62M","0.23%"
"Jan 10, 2019","8,856.80","8,790.00","8,856.80","8,784.50","148.19M","0.38%"
"Jan 09, 2019","8,823.60","8,887.40","8,892.90","8,807.00","160.46M","-0.27%"
"Jan 08, 2019","8,847.30","8,783.10","8,895.90","8,773.40","160.82M","0.81%"
"Jan 07, 2019","8,776.30","8,781.20","8,783.50","8,710.40","128.76M","0.44%"
"Jan 04, 2019","8,737.80","8,593.80","8,774.30","8,588.10","169.09M","2.52%"
"Jan 03, 2019","8,523.30","8,497.50","8,590.90","8,488.10","135.07M","-0.31%"
"Jan 02, 2019","8,550.00","8,448.30","8,582.40","8,354.80","130.76M","0.12%"
"Dec 31, 2018","8,539.90","8,510.80","8,583.30","8,490.70","64.73M","0.54%"
"Dec 28, 2018","8,493.70","8,386.20","8,513.40","8,378.70","143.83M","1.55%"
"Dec 27, 2018","8,363.90","8,555.60","8,557.70","8,286.20","211.96M","-1.38%"
"Dec 24, 2018","8,480.60","8,490.20","8,528.40","8,471.20","53.51M","-0.89%"
"Dec 21, 2018","8,556.80","8,563.20","8,598.40","8,468.40","389.12M","-0.46%"
"Dec 20, 2018","8,596.50","8,647.80","8,698.50","8,567.00","231.92M","-1.97%"
"Dec 19, 2018","8,769.10","8,720.10","8,804.20","8,717.80","188.36M","0.78%"
"Dec 18, 2018","8,700.80","8,781.10","8,802.10","8,700.80","225.82M","-1.27%"
"Dec 17, 2018","8,812.50","8,862.90","8,906.20","8,807.90","173.09M","-0.83%"
