Date,Open,High,Low,Close,Adj Close,Volume
2000-01-03,2.741411,2.741411,2.726593,2.741411,1.369745,7949
2000-01-04,2.726593,2.741411,2.726593,2.741411,1.369745,3178
2000-01-05,2.726593,2.741411,2.726593,2.741411,1.369745,3974
2000-01-06,2.741411,2.741411,2.741411,2.741411,1.369745,0
2000-01-07,2.726593,2.741411,2.726593,2.741411,1.369745,2652
2000-01-10,2.726593,2.726593,2.726593,2.726593,1.362341,6755
2000-01-11,2.711774,2.726593,2.711774,2.726593,1.362341,3441
2000-01-12,2.711774,2.726593,2.711774,2.726593,1.362341,2436
2000-01-13,2.726593,2.726593,2.726593,2.726593,1.362341,10068
2000-01-14,2.726593,2.726593,2.726593,2.726593,1.362341,4028
2000-01-17,2.726593,2.726593,2.711774,2.711774,1.354937,21594
2000-01-18,2.682137,2.711774,2.682137,2.711774,1.354937,2699
2000-01-19,2.682137,2.682137,2.682137,2.682137,1.340128,7153
2000-01-20,2.682137,2.682137,2.682137,2.682137,1.340128,11074
2000-01-21,2.696956,2.696956,2.637682,2.637682,1.317917,26494
2000-01-24,2.711774,2.711774,2.711774,2.711774,1.354937,18834
2000-01-25,2.726593,2.726593,2.726593,2.726593,1.362341,9137
2000-01-26,2.711774,2.726593,2.711774,2.726593,1.362341,661
2000-01-27,2.726593,2.726593,2.726593,2.726593,1.362341,5297
2000-01-28,2.726593,2.726593,2.726593,2.726593,1.362341,0
2000-01-31,2.726593,2.726593,2.726593,2.726593,1.362341,4501
2000-02-01,2.756229,2.756229,2.756229,2.756229,1.377148,50923
2000-02-02,2.741411,2.741411,2.741411,2.741411,1.369745,5324
2000-02-03,2.726593,2.741411,2.726593,2.741411,1.369745,3340
2000-02-04,2.726593,2.741411,2.726593,2.741411,1.369745,3974
2000-02-07,2.726593,2.741411,2.726593,2.741411,1.369745,2652
2000-02-08,2.711774,2.711774,2.711774,2.711774,1.354937,9272
2000-02-09,2.711774,2.711774,2.711774,2.711774,1.354937,7949
2000-02-10,2.711774,2.711774,2.711774,2.711774,1.354937,2118
2000-02-11,2.711774,2.711774,2.711774,2.711774,1.354937,2915
2000-02-14,2.711774,2.711774,2.711774,2.711774,1.354937,6620
2000-02-15,2.711774,2.711774,2.711774,2.711774,1.354937,3974
2000-02-16,2.711774,2.711774,2.711774,2.711774,1.354937,4609
2000-02-17,2.726593,2.726593,2.711774,2.711774,1.354937,2915
2000-02-18,2.711774,2.711774,2.711774,2.711774,1.354937,3974
2000-02-21,2.696956,2.696956,2.696956,2.696956,1.347533,21938
2000-02-22,2.696956,2.696956,2.696956,2.696956,1.347533,0
2000-02-23,2.711774,2.711774,2.696956,2.696956,1.347533,5297
2000-02-24,2.711774,2.711774,2.696956,2.696956,1.347533,1457
2000-02-25,2.726593,2.726593,2.726593,2.726593,1.362341,6201
2000-02-28,2.756229,2.756229,2.756229,2.756229,1.377148,20663
2000-02-29,2.726593,2.756229,2.726593,2.756229,1.377148,3657
2000-03-01,2.726593,2.756229,2.726593,2.756229,1.377148,2280
2000-03-02,2.756229,2.756229,2.756229,2.756229,1.377148,2652
2000-03-03,2.756229,2.756229,2.756229,2.756229,1.377148,2652
2000-03-06,2.741411,2.756229,2.726593,2.756229,1.377148,5034
2000-03-07,2.741411,2.756229,2.741411,2.756229,1.377148,3313
2000-03-08,2.741411,2.756229,2.741411,2.756229,1.377148,2652
2000-03-09,2.756229,2.756229,2.756229,2.756229,1.377148,8745
2000-03-10,2.756229,2.756229,2.756229,2.756229,1.377148,3205
