"Date","Price","Open","High","Low","Change %"
"Jan 04, 2021","25.486","25.486","25.486","25.486","1.18%"
"Jan 01, 2021","25.189","25.189","25.189","25.189","0.53%"
"Dec 31, 2020","25.056","25.056","25.056","25.056","-0.09%"
"Dec 30, 2020","25.078","25.078","25.078","25.078","0.63%"
"Dec 29, 2020","24.921","24.921","24.921","24.921","0.18%"
"Dec 28, 2020","24.876","24.876","24.876","24.876","1.07%"
"Dec 24, 2020","24.612","24.612","24.612","24.612","0.76%"
"Dec 23, 2020","24.427","24.427","24.427","24.427","1.73%"
"Dec 22, 2020","24.011","24.011","24.011","24.011","0.62%"
"Dec 21, 2020","23.864","23.864","23.864","23.864","-3.90%"
"Dec 18, 2020","24.832","24.832","24.832","24.832","-0.10%"
"Dec 17, 2020","24.857","24.857","24.857","24.857","0.25%"
"Dec 16, 2020","24.794","24.794","24.794","24.794","0.76%"
"Dec 15, 2020","24.608","24.608","24.608","24.608","0.37%"
"Dec 14, 2020","24.517","24.517","24.517","24.517","0.74%"
"Dec 11, 2020","24.336","24.336","24.336","24.336","0.67%"
"Dec 10, 2020","24.174","24.174","24.174","24.174","-0.80%"
"Dec 09, 2020","24.369","24.369","24.369","24.369","0.26%"
"Dec 08, 2020","24.306","24.306","24.306","24.306","-0.31%"
"Dec 07, 2020","24.381","24.381","24.381","24.381","0.96%"
"Dec 04, 2020","24.149","24.149","24.149","24.149","1.13%"
"Dec 03, 2020","23.878","23.878","23.878","23.878","0.81%"
"Dec 02, 2020","23.685","23.685","23.685","23.685","0.39%"
"Dec 01, 2020","23.593","23.593","23.593","23.593","1.31%"
"Nov 27, 2020","23.287","23.287","23.287","23.287","1.03%"
"Nov 26, 2020","23.050","23.050","23.050","23.050","1.23%"
"Nov 25, 2020","22.771","22.771","22.771","22.771","-1.08%"
"Nov 24, 2020","23.019","23.019","23.019","23.019","0.89%"
"Nov 23, 2020","22.816","22.816","22.816","22.816","-0.11%"
"Nov 20, 2020","22.842","22.842","22.842","22.842","0.97%"
"Nov 19, 2020","22.623","22.623","22.623","22.623","-0.79%"
"Nov 18, 2020","22.804","22.804","22.804","22.804","1.64%"
"Nov 17, 2020","22.437","22.437","22.437","22.437","1.90%"
"Nov 13, 2020","22.018","22.018","22.018","22.018","0.44%"
"Nov 12, 2020","21.921","21.921","21.921","21.921","0.02%"
"Nov 11, 2020","21.916","21.916","21.916","21.916","0.89%"
"Nov 10, 2020","21.722","21.722","21.722","21.722","1.26%"
"Nov 09, 2020","21.451","21.451","21.451","21.451","1.72%"
"Nov 06, 2020","21.089","21.089","21.089","21.089","0.14%"
"Nov 05, 2020","21.059","21.059","21.059","21.059","1.72%"
"Nov 04, 2020","20.703","20.703","20.703","20.703","0.23%"
"Nov 03, 2020","20.656","20.656","20.656","20.656","1.42%"
"Nov 02, 2020","20.367","20.367","20.367","20.367","1.01%"
"Oct 30, 2020","20.164","20.164","20.164","20.164","-0.12%"
"Oct 29, 2020","20.189","20.189","20.189","20.189","-0.58%"
"Oct 28, 2020","20.307","20.307","20.307","20.307","-0.99%"
"Oct 27, 2020","20.511","20.511","20.511","20.511","0.92%"
"Oct 26, 2020","20.325","20.325","20.325","20.325","-1.39%"
"Oct 23, 2020","20.611","20.611","20.611","20.611","0.43%"
"Oct 22, 2020","20.523","20.523","20.523","20.523","0.57%"
"Oct 21, 2020","20.406","20.406","20.406","20.406","1.32%"
"Oct 20, 2020","20.140","20.140","20.140","20.140","0.21%"
"Oct 19, 2020","20.097","20.097","20.097","20.097","1.18%"
"Oct 16, 2020","19.863","19.863","19.863","19.863","1.53%"
"Oct 15, 2020","19.563","19.563","19.563","19.563","-1.90%"
"Oct 14, 2020","19.942","19.942","19.942","19.942","0.43%"
"Oct 13, 2020","19.857","19.857","19.857","19.857","-0.55%"
"Oct 12, 2020","19.967","19.967","19.967","19.967","-0.70%"
"Oct 09, 2020","20.107","20.107","20.107","20.107","0.64%"
"Oct 08, 2020","19.979","19.979","19.979","19.979","0.34%"
"Oct 07, 2020","19.911","19.911","19.911","19.911","-0.27%"
"Oct 06, 2020","19.965","19.965","19.965","19.965","0.71%"
"Oct 05, 2020","19.824","19.824","19.824","19.824","0.18%"
"Oct 01, 2020","19.789","19.789","19.789","19.789","1.25%"
"Sep 30, 2020","19.545","19.545","19.545","19.545","-0.29%"
"Sep 29, 2020","19.601","19.601","19.601","19.601","1.87%"
"Sep 25, 2020","19.242","19.242","19.242","19.242","2.31%"
"Sep 24, 2020","18.808","18.808","18.808","18.808","-2.72%"
