"Date","Price","Open","High","Low","Change %"
"Jan 20, 2021","34.146","34.146","34.146","34.146","0.02%"
"Jan 19, 2021","34.138","34.138","34.138","34.138","0.01%"
"Jan 18, 2021","34.135","34.135","34.135","34.135","-0.02%"
"Jan 15, 2021","34.142","33.953","34.142","33.953","0.00%"
"Jan 14, 2021","34.142","34.142","34.142","34.142","-0.02%"
"Jan 13, 2021","34.150","34.150","34.150","34.150","-0.01%"
"Jan 12, 2021","34.152","34.152","34.152","34.152","-0.01%"
"Jan 11, 2021","34.157","34.321","34.321","34.157","-0.01%"
"Jan 08, 2021","34.161","34.161","34.161","34.161","0.02%"
"Jan 07, 2021","34.156","34.156","34.156","34.156","0.02%"
"Jan 06, 2021","34.149","34.149","34.149","34.149","-0.02%"
"Jan 05, 2021","34.155","34.155","34.155","34.155","0.04%"
"Jan 04, 2021","34.143","34.143","34.143","34.143","0.08%"
"Jan 01, 2021","34.115","34.115","34.115","34.115","0.05%"
"Dec 31, 2020","34.100","34.100","34.100","34.100","0.02%"
"Dec 30, 2020","34.093","34.093","34.093","34.093","0.00%"
"Dec 29, 2020","34.092","34.092","34.092","34.092","0.04%"
"Dec 28, 2020","34.080","34.080","34.080","34.080","0.04%"
"Dec 25, 2020","34.066","34.066","34.066","34.066","0.00%"
"Dec 24, 2020","34.066","34.066","34.066","34.066","0.03%"
"Dec 23, 2020","34.054","34.054","34.054","34.054","0.06%"
"Dec 22, 2020","34.033","34.033","34.033","34.033","0.04%"
"Dec 21, 2020","34.021","34.021","34.021","34.021","0.06%"
"Dec 18, 2020","34.002","34.002","34.002","34.002","0.09%"
"Dec 17, 2020","33.971","33.971","33.971","33.971","-0.01%"
"Dec 16, 2020","33.973","33.973","33.973","33.973","-0.01%"
"Dec 15, 2020","33.975","33.975","33.975","33.975","0.02%"
"Dec 14, 2020","33.969","33.969","33.969","33.969","0.02%"
"Dec 11, 2020","33.961","33.961","33.961","33.961","-0.02%"
"Dec 10, 2020","33.969","33.969","33.969","33.969","0.02%"
"Dec 09, 2020","33.963","33.963","33.963","33.963","0.05%"
"Dec 08, 2020","33.947","33.947","33.947","33.947","0.01%"
"Dec 07, 2020","33.945","33.945","33.945","33.945","0.06%"
"Dec 04, 2020","33.926","33.926","33.926","33.926","0.13%"
