"Date","Price","Open","High","Low","Change %"
"Jul 13, 2020","2,163.775","2,163.775","2,163.775","2,163.775","0.01%"
"Jul 10, 2020","2,163.559","2,163.559","2,163.559","2,163.559","0.02%"
"Jul 09, 2020","2,163.168","2,163.168","2,163.168","2,163.168","0.00%"
"Jul 08, 2020","2,163.107","2,163.107","2,163.107","2,163.107","0.01%"
"Jul 07, 2020","2,162.888","2,162.888","2,162.888","2,162.888","0.01%"
"Jul 06, 2020","2,162.594","2,162.594","2,162.594","2,162.594","0.04%"
"Jul 03, 2020","2,161.707","2,161.707","2,161.707","2,161.707","0.01%"
"Jul 02, 2020","2,161.399","2,161.399","2,161.399","2,161.399","0.03%"
"Jul 01, 2020","2,160.783","2,160.783","2,160.783","2,160.783","0.02%"
"Jun 30, 2020","2,160.365","2,160.365","2,160.365","2,160.365","0.02%"
"Jun 29, 2020","2,159.972","2,159.972","2,159.972","2,159.972","0.01%"
"Jun 26, 2020","2,159.694","2,159.694","2,159.694","2,159.694","0.02%"
"Jun 25, 2020","2,159.298","2,159.298","2,159.298","2,159.298","0.02%"
"Jun 24, 2020","2,158.820","2,158.820","2,158.820","2,158.820","0.01%"
"Jun 23, 2020","2,158.581","2,158.581","2,158.581","2,158.581","0.01%"
"Jun 22, 2020","2,158.413","2,158.413","2,158.413","2,158.413","0.00%"
"Jun 19, 2020","2,158.402","2,158.402","2,158.402","2,158.402","0.08%"
"Jun 18, 2020","2,156.660","2,156.660","2,156.660","2,156.660","0.05%"
"Jun 17, 2020","2,155.608","2,155.608","2,155.608","2,155.608","0.02%"
"Jun 16, 2020","2,155.135","2,155.135","2,155.135","2,155.135","0.05%"
"Jun 12, 2020","2,154.058","2,154.058","2,154.058","2,154.058","0.02%"
"Jun 11, 2020","2,153.712","2,153.712","2,153.712","2,153.712","0.04%"
"Jun 10, 2020","2,152.800","2,152.800","2,152.800","2,152.800","0.02%"
"Jun 09, 2020","2,152.295","2,152.295","2,152.295","2,152.295","0.02%"
"Jun 08, 2020","2,151.955","2,151.955","2,151.955","2,151.955","-0.00%"
"Jun 05, 2020","2,152.048","2,152.048","2,152.048","2,152.048","0.00%"
"Jun 04, 2020","2,152.030","2,152.030","2,152.030","2,152.030","0.00%"
"Jun 03, 2020","2,151.947","2,151.947","2,151.947","2,151.947","0.03%"
"Jun 02, 2020","2,151.404","2,151.404","2,151.404","2,151.404","0.01%"
"Jun 01, 2020","2,151.290","2,151.290","2,151.290","2,151.290","0.01%"
"May 29, 2020","2,151.112","2,151.112","2,151.112","2,151.112","-0.03%"
"May 28, 2020","2,151.665","2,151.665","2,151.665","2,151.665","-0.01%"
"May 27, 2020","2,151.817","2,151.817","2,151.817","2,151.817","-0.03%"
"May 26, 2020","2,152.365","2,152.365","2,152.365","2,152.365","0.05%"
"May 22, 2020","2,151.382","2,151.382","2,151.382","2,151.382","0.08%"
"May 21, 2020","2,149.725","2,149.725","2,149.725","2,149.725","0.07%"
"May 20, 2020","2,148.294","2,148.294","2,148.294","2,148.294","0.01%"
"May 19, 2020","2,147.985","2,147.985","2,147.985","2,147.985","0.03%"
"May 18, 2020","2,147.295","2,147.295","2,147.295","2,147.295","0.07%"
"May 15, 2020","2,145.825","2,145.825","2,145.825","2,145.825","0.05%"
"May 14, 2020","2,144.814","2,144.814","2,144.814","2,144.814","0.03%"
"May 13, 2020","2,144.207","2,144.207","2,144.207","2,144.207","0.03%"
"May 12, 2020","2,143.472","2,143.472","2,143.472","2,143.472","0.06%"
"May 11, 2020","2,142.088","2,142.088","2,142.088","2,142.088","0.02%"
"May 08, 2020","2,141.644","2,141.644","2,141.644","2,141.644","0.04%"
"May 06, 2020","2,140.808","2,140.808","2,140.808","2,140.808","0.03%"
"May 05, 2020","2,140.224","2,140.224","2,140.224","2,140.224","0.04%"
"May 04, 2020","2,139.283","2,139.283","2,139.283","2,139.283","0.06%"
"Apr 29, 2020","2,137.972","2,137.972","2,137.972","2,137.972","-0.00%"
"Apr 28, 2020","2,138.035","2,138.035","2,138.035","2,138.035","-0.02%"
"Apr 27, 2020","2,138.413","2,138.413","2,138.413","2,138.413","-0.00%"
"Apr 24, 2020","2,138.454","2,138.454","2,138.454","2,138.454","-0.07%"
"Apr 23, 2020","2,139.926","2,139.926","2,139.926","2,139.926","0.03%"
"Apr 22, 2020","2,139.221","2,139.221","2,139.221","2,139.221","0.03%"
"Apr 21, 2020","2,138.682","2,138.682","2,138.682","2,138.682","0.05%"
"Apr 20, 2020","2,137.657","2,137.657","2,137.657","2,137.657","0.06%"
"Apr 17, 2020","2,136.342","2,136.342","2,136.342","2,136.342","0.11%"
"Apr 16, 2020","2,134.083","2,134.083","2,134.083","2,134.083","0.06%"
"Apr 15, 2020","2,132.766","2,132.766","2,132.766","2,132.766","-0.00%"
"Apr 13, 2020","2,132.779","2,132.779","2,132.779","2,132.779","0.06%"
"Apr 09, 2020","2,131.523","2,131.523","2,131.523","2,131.523","-0.04%"
"Apr 08, 2020","2,132.424","2,132.424","2,132.424","2,132.424","0.00%"
"Apr 07, 2020","2,132.380","2,132.380","2,132.380","2,132.380","-0.01%"
"Apr 03, 2020","2,132.671","2,132.671","2,132.671","2,132.671","0.04%"
"Mar 31, 2020","2,131.776","2,131.776","2,131.776","2,131.776","0.01%"
"Mar 30, 2020","2,131.492","2,131.492","2,131.492","2,131.492","0.07%"
"Mar 27, 2020","2,130.083","2,130.083","2,130.083","2,130.083","0.93%"
"Mar 26, 2020","2,110.398","2,110.398","2,110.398","2,110.398","0.05%"
"Mar 24, 2020","2,109.289","2,109.289","2,109.289","2,109.289","-0.15%"
"Mar 23, 2020","2,112.408","2,112.408","2,112.408","2,112.408","-0.15%"
"Mar 20, 2020","2,115.542","2,115.542","2,115.542","2,115.542","0.09%"
"Mar 19, 2020","2,113.642","2,113.642","2,113.642","2,113.642","-0.31%"
