"Date","Price","Open","High","Low","Vol.","Change %"
"Jan 17, 2020","8.26","8.26","8.26","8.26","0.03K","4.96%"
"Jan 16, 2020","7.87","7.50","7.87","7.50","0.55K","4.93%"
"Jan 15, 2020","7.50","6.91","7.55","6.89","2.27K","3.45%"
"Jan 14, 2020","7.25","7.22","7.90","7.22","3.13K","-4.48%"
"Jan 13, 2020","7.59","7.60","7.60","7.59","1.10K","-4.89%"
"Jan 10, 2020","7.98","8.82","8.82","7.98","3.51K","-5.00%"
"Jan 09, 2020","8.40","8.00","8.40","7.63","1.71K","5.00%"
"Jan 08, 2020","8.00","8.00","8.00","8.00","0.01K","0.00%"
"Jan 07, 2020","8.00","8.44","8.44","8.00","1.00K","-0.50%"
"Jan 06, 2020","8.04","8.05","8.87","8.04","3.15K","-4.96%"
"Jan 03, 2020","8.46","8.46","8.46","8.46","0.05K","-4.94%"
"Jan 02, 2020","8.90","8.90","8.90","8.90","2.11K","-4.91%"
"Jan 01, 2020","9.36","9.36","9.36","9.36","0.20K","-4.97%"
"Dec 31, 2019","9.85","9.85","10.87","9.85","1.07K","-4.92%"
"Dec 30, 2019","10.36","10.36","10.36","10.36","0.50K","-4.95%"
"Dec 27, 2019","10.90","10.90","10.90","10.90","0.25K","-4.97%"
"Dec 26, 2019","11.47","10.90","11.47","10.90","0.12K","0.00%"
"Dec 20, 2019","11.47","12.67","12.67","11.47","0.31K","-4.97%"
"Dec 19, 2019","12.07","12.07","12.07","12.07","0.01K","4.96%"
"Dec 11, 2019","11.50","11.50","11.50","11.50","0.01K","2.68%"
"Dec 09, 2019","11.20","11.20","11.20","11.20","0.01K","4.67%"
"Dec 05, 2019","10.70","10.45","10.70","10.45","0.04K","2.39%"
"Dec 04, 2019","10.45","9.93","10.45","9.93","0.40K","0.00%"
"Dec 03, 2019","10.45","10.45","10.45","10.45","0.00K","-4.91%"
"Dec 02, 2019","10.99","10.99","10.99","10.99","0.00K","-4.93%"
"Nov 29, 2019","11.56","11.56","11.56","11.56","0.00K","-4.93%"
"Nov 22, 2019","12.16","11.56","12.16","11.56","0.14K","0.00%"
"Nov 21, 2019","12.16","12.16","12.16","12.16","0.01K","-4.93%"
"Nov 20, 2019","12.79","12.79","12.79","12.79","0.48K","0.00%"
"Nov 08, 2019","12.79","12.91","12.91","12.54","1.70K","3.98%"
"Nov 07, 2019","12.30","12.30","12.30","11.14","0.09K","4.95%"
"Nov 06, 2019","11.72","11.72","11.72","11.72","0.01K","-4.95%"
"Nov 05, 2019","12.33","12.33","12.33","12.33","0.05K","-4.93%"
"Nov 04, 2019","12.97","13.00","13.50","12.97","1.12K","-4.98%"
"Nov 01, 2019","13.65","12.75","14.05","12.73","0.83K","1.87%"
"Oct 30, 2019","13.40","13.40","13.40","13.40","0.00K","-4.96%"
"Oct 29, 2019","14.10","15.40","15.40","14.10","0.24K","0.36%"
"Oct 25, 2019","14.05","14.05","14.05","14.05","0.01K","-3.77%"
"Oct 24, 2019","14.60","14.60","14.60","14.60","0.01K","-3.95%"
"Oct 23, 2019","15.20","15.20","15.20","15.20","0.20K","-5.00%"
"Oct 22, 2019","16.00","17.60","17.60","16.00","0.01K","-4.76%"
"Oct 18, 2019","16.80","16.80","16.80","16.80","0.10K","-4.82%"
"Oct 17, 2019","17.65","19.45","19.45","17.65","1.63K","-4.85%"
"Oct 16, 2019","18.55","18.55","18.55","18.55","0.01K","3.92%"
"Oct 15, 2019","17.85","17.85","17.85","17.85","0.01K","2.59%"
"Oct 14, 2019","17.40","17.40","17.40","17.40","0.01K","4.50%"
"Oct 11, 2019","16.65","16.65","16.65","16.65","0.01K","4.72%"
"Oct 10, 2019","15.90","15.90","15.90","15.90","0.00K","0.00%"
"Oct 07, 2019","15.90","15.90","15.90","15.90","0.01K","4.95%"
"Sep 30, 2019","15.15","15.15","15.15","15.15","0.20K","0.00%"
"Sep 25, 2019","15.15","15.15","15.15","15.15","0.01K","0.00%"
"Sep 19, 2019","15.15","16.10","16.10","15.15","0.43K","-1.30%"
"Sep 18, 2019","15.35","16.95","16.95","15.35","0.45K","-4.95%"
"Sep 17, 2019","16.15","16.15","16.15","16.15","0.30K","-5.00%"
"Sep 16, 2019","17.00","17.55","17.55","16.45","1.07K","1.19%"
"Sep 13, 2019","16.80","16.00","16.80","16.00","0.15K","5.00%"
"Sep 12, 2019","16.00","16.00","16.00","16.00","0.05K","-0.93%"
"Sep 11, 2019","16.15","16.15","16.15","16.15","0.00K","-4.72%"
"Sep 09, 2019","16.95","16.95","16.95","16.95","0.00K","-4.78%"
"Sep 06, 2019","17.80","17.85","17.85","17.70","0.10K","4.71%"
"Sep 05, 2019","17.00","17.10","17.10","17.00","0.00K","4.29%"
"Sep 04, 2019","16.30","16.30","16.30","16.30","0.00K","4.82%"
"Sep 03, 2019","15.55","15.55","15.55","15.55","0.00K","0.00%"
"Aug 30, 2019","15.55","15.55","15.55","15.55","0.10K","4.71%"
"Aug 29, 2019","14.85","14.85","14.85","14.85","0.01K","0.00%"
"Aug 28, 2019","14.85","15.55","15.55","14.85","0.06K","0.00%"
"Aug 21, 2019","14.85","14.75","15.50","14.75","0.06K","-4.19%"
"Aug 20, 2019","15.50","16.50","16.50","15.50","0.08K","-4.91%"
"Aug 19, 2019","16.30","16.30","16.30","16.30","0.01K","-0.61%"
"Aug 16, 2019","16.40","16.40","16.40","16.40","0.03K","4.46%"
"Aug 14, 2019","15.70","15.70","15.70","15.70","0.01K","0.00%"
"Jul 31, 2019","15.70","14.92","16.48","14.92","0.11K","0.00%"
"Jul 26, 2019","15.70","15.69","15.70","15.69","0.12K","0.00%"
"Jul 25, 2019","15.70","15.70","15.70","15.70","0.01K","4.95%"
"Jul 23, 2019","14.96","14.97","14.97","14.96","0.14K","4.91%"
"Jul 22, 2019","14.26","14.26","14.26","14.26","0.02K","4.93%"
"Jul 19, 2019","13.59","14.27","14.27","13.59","0.03K","-0.07%"
"Jul 18, 2019","13.60","13.60","13.60","13.60","0.03K","4.70%"
"Jul 17, 2019","12.99","13.00","13.00","12.00","0.75K","4.84%"
"Jul 16, 2019","12.39","12.87","12.87","12.39","0.01K","1.06%"
"Jul 15, 2019","12.26","12.27","12.27","12.26","0.32K","4.88%"
"Jul 12, 2019","11.69","11.69","11.69","11.69","0.03K","4.94%"
"Jul 11, 2019","11.14","11.14","11.14","11.14","0.03K","5.00%"
"Jul 10, 2019","10.61","10.61","10.61","10.61","0.05K","4.95%"
"Jul 09, 2019","10.11","10.11","10.11","10.11","0.05K","4.98%"
"Jul 08, 2019","9.63","9.63","9.63","9.63","0.05K","4.90%"
"Jul 03, 2019","9.18","10.14","10.14","9.18","0.04K","-4.97%"
"Jul 02, 2019","9.66","8.78","9.66","8.78","2.22K","5.00%"
"Jul 01, 2019","9.20","10.14","10.14","9.20","1.10K","-4.76%"
"Jun 27, 2019","9.66","9.66","9.66","9.66","0.05K","5.00%"
"Jun 26, 2019","9.20","9.20","9.20","9.20","0.90K","4.90%"
"Jun 25, 2019","8.77","8.78","8.78","8.77","0.42K","-4.98%"
"Jun 24, 2019","9.23","9.23","9.71","9.23","1.41K","-4.94%"
"Jun 17, 2019","9.71","9.72","9.72","9.71","2.47K","5.20%"
"Jun 10, 2019","9.23","9.24","9.24","9.23","1.85K","-4.94%"
"Jun 03, 2019","9.71","9.71","9.71","9.71","0.11K","-4.99%"
"May 27, 2019","10.22","10.22","10.22","10.22","1.31K","-4.93%"
"May 20, 2019","10.75","11.80","11.87","10.75","2.19K","-4.95%"
"May 13, 2019","11.31","11.31","11.31","11.31","0.01K","-4.96%"
"May 06, 2019","11.90","11.90","11.90","11.90","0.01K","-4.80%"
"Apr 30, 2019","12.50","13.65","13.65","12.50","1.10K","-3.85%"
"Apr 15, 2019","13.00","13.17","13.17","11.95","1.15K","3.59%"
"Apr 08, 2019","12.55","12.55","13.87","12.55","0.61K","-5.00%"
"Mar 25, 2019","13.21","13.21","13.21","13.21","0.05K","-4.96%"
"Mar 18, 2019","13.90","15.35","15.35","13.90","0.01K","-4.99%"
"Mar 11, 2019","14.63","16.15","16.15","14.63","6.51K","-4.94%"
"Feb 25, 2019","15.39","15.39","15.39","15.39","0.01K","4.98%"
"Feb 12, 2019","14.66","14.66","14.66","14.66","0.00K","4.94%"
"Feb 11, 2019","13.97","13.97","13.97","12.65","2.89K","4.96%"
"Feb 08, 2019","13.31","13.32","13.32","13.30","0.39K","4.89%"
"Feb 07, 2019","12.69","12.69","12.69","12.69","0.01K","4.96%"
"Feb 06, 2019","12.09","12.09","12.09","12.09","0.01K","4.95%"
"Feb 04, 2019","11.52","11.52","11.52","11.52","0.01K","4.92%"
"Jan 31, 2019","10.98","10.98","12.12","10.98","1.41K","-4.94%"
"Jan 30, 2019","11.55","11.55","11.55","11.55","1.00K","-3.99%"
"Jan 28, 2019","12.03","12.66","13.29","12.03","2.71K","-4.98%"
"Jan 25, 2019","12.66","13.98","13.98","12.66","0.40K","-4.95%"
"Jan 24, 2019","13.32","13.32","13.32","12.06","6.08K","4.96%"
"Jan 23, 2019","12.69","12.69","12.69","12.69","0.50K","4.96%"
"Jan 21, 2019","12.09","12.09","12.09","12.09","1.70K","4.95%"
"Jan 18, 2019","11.52","11.52","11.52","11.52","1.90K","4.92%"
"Jan 17, 2019","10.98","10.98","10.98","10.98","0.11K","4.97%"
"Jan 16, 2019","10.46","10.52","10.52","9.53","2.16K","4.39%"
"Jan 15, 2019","10.02","10.02","10.02","10.02","0.40K","4.92%"
"Jan 14, 2019","9.55","9.55","9.55","9.55","0.10K","4.83%"
"Jan 10, 2019","9.11","9.97","9.97","9.11","0.60K","-4.11%"
"Jan 09, 2019","9.50","8.60","9.50","8.60","0.21K","4.97%"
"Jan 08, 2019","9.05","8.36","9.24","8.36","2.78K","2.84%"
"Jan 07, 2019","8.80","7.98","8.80","7.98","0.42K","4.89%"
"Jan 03, 2019","8.39","9.27","9.27","8.39","0.90K","-4.98%"
"Jan 02, 2019","8.83","8.83","8.83","8.83","0.19K","0.00%"
"Dec 31, 2018","8.83","8.83","8.83","8.83","0.01K","-4.95%"
"Dec 28, 2018","9.29","9.29","9.29","9.29","0.20K","0.00%"
"Dec 27, 2018","9.29","9.29","9.29","9.29","0.10K","4.97%"
"Dec 19, 2018","8.85","9.31","9.31","8.85","0.22K","-4.94%"
"Dec 18, 2018","9.31","9.31","9.31","9.31","0.03K","-4.90%"
"Dec 17, 2018","9.79","10.81","10.81","9.79","2.07K","-4.95%"
"Dec 14, 2018","10.30","10.30","10.30","10.30","0.11K","-4.63%"
"Dec 13, 2018","10.80","10.80","10.80","10.80","0.20K","-4.76%"
"Dec 12, 2018","11.34","11.34","11.34","11.34","0.55K","5.00%"
"Dec 11, 2018","10.80","10.80","10.80","10.80","0.43K","0.00%"
"Dec 10, 2018","10.80","10.29","10.80","10.29","5.22K","4.96%"
"Dec 07, 2018","10.29","10.28","10.30","10.26","7.70K","4.89%"
"Dec 06, 2018","9.81","9.80","9.81","9.75","3.30K","4.92%"
"Dec 05, 2018","9.35","9.35","9.35","9.35","0.03K","4.94%"
"Dec 04, 2018","8.91","8.91","8.91","8.91","0.02K","4.95%"
